Sample,Pressure (kPa),EXP_ADS (mL/g),Langmuir_ADS (mL/g),Temparature ©,Depth (m),Moisture (%),VM(%),Ash (%),FC (%),Vitrinite (%),Semi- vitrinite (%),Liptinite (%),Inertinite (%),Mineral matter (%),Mean Ro (%),Max. EXP Pressure (kPa),Lan. Vol. Con. VL (mL/g),Lan. Pres. Con. PL (kPa),Correlation coefficient (R^2)
R-15,500,2.700,2.900,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,12000,9.61,1953.42,0.995
,1000,3.850,3.950,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,12000,9.61,1953.42,0.995
,1500,4.850,4.900,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,12000,9.61,1953.42,0.995
,2000,5.400,5.450,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,12000,9.61,1953.42,0.995
,2500,5.900,5.950,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,12000,9.61,1953.42,0.995
,3000,6.200,6.150,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,12000,9.61,1953.42,0.995
,4000,6.650,6.600,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,12000,9.61,1953.42,0.995
,5000,7.050,7.000,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,12000,9.61,1953.42,0.995
,6000,7.350,7.300,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,12000,9.61,1953.42,0.995
,7000,7.600,7.550,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,12000,9.61,1953.42,0.995
,8000,7.800,7.750,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,12000,9.61,1953.42,0.995
,9000,7.950,7.950,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,12000,9.61,1953.42,0.995
,10000,8.100,8.050,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,12000,9.61,1953.42,0.995
,12000,7.850,8.200,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,12000,9.61,1953.42,0.995
R-16 BOTTOM,500,4.25,4.5,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,12000,14.13,1860.98,0.998
,1000,6.3,6.35,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,12000,14.13,1860.98,0.998
,1500,7.45,7.52,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,12000,14.13,1860.98,0.998
,2000,8.38,8.45,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,12000,14.13,1860.98,0.998
,2500,8.92,8.98,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,12000,14.13,1860.98,0.998
,3000,9.42,9.35,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,12000,14.13,1860.98,0.998
,4000,10.12,10.05,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,12000,14.13,1860.98,0.998
,5000,10.58,10.52,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,12000,14.13,1860.98,0.998
,6000,10.98,10.92,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,12000,14.13,1860.98,0.998
,7000,11.3,11.25,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,12000,14.13,1860.98,0.998
,8000,11.6,11.55,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,12000,14.13,1860.98,0.998
,9000,11.78,11.75,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,12000,14.13,1860.98,0.998
,10000,11.95,11.92,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,12000,14.13,1860.98,0.998
,12000,12,12.1,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,12000,14.13,1860.98,0.998
R-16 TOP,500,1.02,1.12,40,507,3.2,45.6,14.4,36.8,47.1,1.8,0.4,44.5,6.2,1.11,12000,14.76,2570.29,0.998
