Sample,Pressure (kPa),EXP_ADS (mL/g),Temparature ©,Depth (m),Moisture (%),VM(%),Ash (%),FC (%),Vitrinite (%),Semi- vitrinite (%),Liptinite (%),Inertinite (%),Mineral matter (%),Mean Ro (%),D–A maximum adsorption (mL/g),DA_E Characteristic adsorption energy (kJ/mol),DA_n Heterogeneity parameter,R2_D–A goodness of fit,DA_P0_2×Pmax​ (kPa)
R-15,500,2.7,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,18.6105359,6.766954846,2.470192163,0.995781313,13800
,1000,3.85,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,18.6105359,6.766954846,2.470192163,0.995781313,13800
,1500,4.85,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,18.6105359,6.766954846,2.470192163,0.995781313,13800
,2000,5.4,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,18.6105359,6.766954846,2.470192163,0.995781313,13800
,2500,5.9,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,18.6105359,6.766954846,2.470192163,0.995781313,13800
,3000,6.2,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,18.6105359,6.766954846,2.470192163,0.995781313,13800
,4000,6.65,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,18.6105359,6.766954846,2.470192163,0.995781313,13800
,5000,7.05,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,18.6105359,6.766954846,2.470192163,0.995781313,13800
,6000,7.35,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,18.6105359,6.766954846,2.470192163,0.995781313,13800
,7000,7.6,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,18.6105359,6.766954846,2.470192163,0.995781313,13800
,8000,7.8,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,18.6105359,6.766954846,2.470192163,0.995781313,13800
,9000,7.95,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,18.6105359,6.766954846,2.470192163,0.995781313,13800
,10000,8.1,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,18.6105359,6.766954846,2.470192163,0.995781313,13800
,12000,7.85,40,527,2.7,43.4,15.6,38.3,58,1.5,0.2,32.3,8,1.14,18.6105359,6.766954846,2.470192163,0.995781313,13800
R-16 BOTTOM,500,4.25,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,24.29601697,6.160838152,1.474540571,0.997927429,14000
,1000,6.3,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,24.29601697,6.160838152,1.474540571,0.997927429,14000
,1500,7.45,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,24.29601697,6.160838152,1.474540571,0.997927429,14000
,2000,8.38,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,24.29601697,6.160838152,1.474540571,0.997927429,14000
,2500,8.92,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,24.29601697,6.160838152,1.474540571,0.997927429,14000
,3000,9.42,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,24.29601697,6.160838152,1.474540571,0.997927429,14000
,4000,10.12,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,24.29601697,6.160838152,1.474540571,0.997927429,14000
,5000,10.58,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,24.29601697,6.160838152,1.474540571,0.997927429,14000
,6000,10.98,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,24.29601697,6.160838152,1.474540571,0.997927429,14000
,7000,11.3,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,24.29601697,6.160838152,1.474540571,0.997927429,14000
,8000,11.6,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,24.29601697,6.160838152,1.474540571,0.997927429,14000
,9000,11.78,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,24.29601697,6.160838152,1.474540571,0.997927429,14000
,10000,11.95,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,24.29601697,6.160838152,1.474540571,0.997927429,14000
,12000,12,40,490,2.2,35,46.2,16.6,60.5,0,4.7,22.8,12,1.1,24.29601697,6.160838152,1.474540571,0.997927429,14000
R-16 TOP,500,1.02,40,507,3.2,45.6,14.4,36.8,47.1,1.8,0.4,44.5,6.2,1.11,21.31074066,6.783466122,2.09901833,0.996997817,12200
,1000,1.58,40,507,3.2,45.6,14.4,36.8,47.1,1.8,0.4,44.5,6.2,1.11,21.31074066,6.783466122,2.09901833,0.996997817,12200
,1500,2.1,40,507,3.2,45.6,14.4,36.8,47.1,1.8,0.4,44.5,6.2,1.11,21.31074066,6.783466122,2.09901833,0.996997817,12200
,2000,2.42,40,507,3.2,45.6,14.4,36.8,47.1,1.8,0.4,44.5,6.2,1.11,21.31074066,6.783466122,2.09901833,0.996997817,12200
,2500,2.76,40,507,3.2,45.6,14.4,36.8,47.1,1.8,0.4,44.5,6.2,1.11,21.31074066,6.783466122,2.09901833,0.996997817,12200
,3000,3.05,40,507,3.2,45.6,14.4,36.8,47.1,1.8,0.4,44.5,6.2,1.11,21.31074066,6.783466122,2.09901833,0.996997817,12200
,4000,3.42,40,507,3.2,45.6,14.4,36.8,47.1,1.8,0.4,44.5,6.2,1.11,21.31074066,6.783466122,2.09901833,0.996997817,12200
,5000,3.78,40,507,3.2,45.6,14.4,36.8,47.1,1.8,0.4,44.5,6.2,1.11,21.31074066,6.783466122,2.09901833,0.996997817,12200
,6000,4.12,40,507,3.2,45.6,14.4,36.8,47.1,1.8,0.4,44.5,6.2,1.11,21.31074066,6.783466122,2.09901833,0.996997817,12200
,7000,4.45,40,507,3.2,45.6,14.4,36.8,47.1,1.8,0.4,44.5,6.2,1.11,21.31074066,6.783466122,2.09901833,0.996997817,12200
,8000,4.75,40,507,3.2,45.6,14.4,36.8,47.1,1.8,0.4,44.5,6.2,1.11,21.31074066,6.783466122,2.09901833,0.996997817,12200
,9000,4.98,40,507,3.2,45.6,14.4,36.8,47.1,1.8,0.4,44.5,6.2,1.11,21.31074066,6.783466122,2.09901833,0.996997817,12200
,10000,5.15,40,507,3.2,45.6,14.4,36.8,47.1,1.8,0.4,44.5,6.2,1.11,21.31074066,6.783466122,2.09901833,0.996997817,12200
,12000,5.4,40,507,3.2,45.6,14.4,36.8,47.1,1.8,0.4,44.5,6.2,1.11,21.31074066,6.783466122,2.09901833,0.996997817,12200
