Bore hole,Pressure (kPa) ,Adsorption (cc/g),Ash (%),Moisture(%),Fixed Carbon (%),Volatile matter (%),Carbon (%),Hydrogen (%),Nitrogen (%),Sulphur (%),Oxygen (%),Vitrinite (%),Inertinite (%),Liptinite (%),Mineral matter (%),Mean (Reflectance) Ro%,VL(cc/g)ADB,PL(Kpa) (ADB),VL(cc/g) (DAF),PL(Kpa) (DAF),Gas Content (cc/g) ADB,Gas Content (cc/g) DAF
BH A/12,372.826087,1,25.4,3.2,59.9,40.1,80.3,5.5,2.5,0.6,11.1,30.8,31.5,18.3,19.4,0.72,16.2,5900,22.8,5900,9.3,13.03
,881.0344828,2.137931034,25.4,3.2,59.9,40.1,80.3,5.5,2.5,0.6,11.1,30.8,31.5,18.3,19.4,0.72,16.2,5900,22.8,5900,9.3,13.03
,1727.640346,3.551724138,25.4,3.2,59.9,40.1,80.3,5.5,2.5,0.6,11.1,30.8,31.5,18.3,19.4,0.72,16.2,5900,22.8,5900,9.3,13.03
,2709.336998,4.75862069,25.4,3.2,59.9,40.1,80.3,5.5,2.5,0.6,11.1,30.8,31.5,18.3,19.4,0.72,16.2,5900,22.8,5900,9.3,13.03
,3725.112444,6.275862069,25.4,3.2,59.9,40.1,80.3,5.5,2.5,0.6,11.1,30.8,31.5,18.3,19.4,0.72,16.2,5900,22.8,5900,9.3,13.03
,4689.871731,7.448275862,25.4,3.2,59.9,40.1,80.3,5.5,2.5,0.6,11.1,30.8,31.5,18.3,19.4,0.72,16.2,5900,22.8,5900,9.3,13.03
,5722.001499,8.310344828,25.4,3.2,59.9,40.1,80.3,5.5,2.5,0.6,11.1,30.8,31.5,18.3,19.4,0.72,16.2,5900,22.8,5900,9.3,13.03
,6737.077295,9,25.4,3.2,59.9,40.1,80.3,5.5,2.5,0.6,11.1,30.8,31.5,18.3,19.4,0.72,16.2,5900,22.8,5900,9.3,13.03
,7734.895052,9.275862069,25.4,3.2,59.9,40.1,80.3,5.5,2.5,0.6,11.1,30.8,31.5,18.3,19.4,0.72,16.2,5900,22.8,5900,9.3,13.03
,8733.004331,9.896551724,25.4,3.2,59.9,40.1,80.3,5.5,2.5,0.6,11.1,30.8,31.5,18.3,19.4,0.72,16.2,5900,22.8,5900,9.3,13.03
,9747.84691,10.31034483,25.4,3.2,59.9,40.1,80.3,5.5,2.5,0.6,11.1,30.8,31.5,18.3,19.4,0.72,16.2,5900,22.8,5900,9.3,13.03
,10762.48542,10.48275862,25.4,3.2,59.9,40.1,80.3,5.5,2.5,0.6,11.1,30.8,31.5,18.3,19.4,0.72,16.2,5900,22.8,5900,9.3,13.03
,11726.3993,10.65517241,25.4,3.2,59.9,40.1,80.3,5.5,2.5,0.6,11.1,30.8,31.5,18.3,19.4,0.72,16.2,5900,22.8,5900,9.3,13.03
,12723.95469,10.62068966,25.4,3.2,59.9,40.1,80.3,5.5,2.5,0.6,11.1,30.8,31.5,18.3,19.4,0.72,16.2,5900,22.8,5900,9.3,13.03
BH A/17,410.7579462,0.910116778,27.2,3,58.8,41.2,79.8,5.3,2.4,0.6,11.9,65.7,15.4,5.7,13.2,0.71,15.5,5828,22.2,5828,5.49,7.86
,872.8606357,1.995186965,27.2,3,58.8,41.2,79.8,5.3,2.4,0.6,11.9,65.7,15.4,5.7,13.2,0.71,15.5,5828,22.2,5828,5.49,7.86
,1711.491443,3.500777951,27.2,3,58.8,41.2,79.8,5.3,2.4,0.6,11.9,65.7,15.4,5.7,13.2,0.71,15.5,5828,22.2,5828,5.49,7.86
,2772.616137,5.111819721,27.2,3,58.8,41.2,79.8,5.3,2.4,0.6,11.9,65.7,15.4,5.7,13.2,0.71,15.5,5828,22.2,5828,5.49,7.86
,3765.281174,6.128284918,27.2,3,58.8,41.2,79.8,5.3,2.4,0.6,11.9,65.7,15.4,5.7,13.2,0.71,15.5,5828,22.2,5828,5.49,7.86
,4757.94621,7.10978508,27.2,3,58.8,41.2,79.8,5.3,2.4,0.6,11.9,65.7,15.4,5.7,13.2,0.71,15.5,5828,22.2,5828,5.49,7.86
,5733.496333,7.601732009,27.2,3,58.8,41.2,79.8,5.3,2.4,0.6,11.9,65.7,15.4,5.7,13.2,0.71,15.5,5828,22.2,5828,5.49,7.86
,6709.046455,8.338434182,27.2,3,58.8,41.2,79.8,5.3,2.4,0.6,11.9,65.7,15.4,5.7,13.2,0.71,15.5,5828,22.2,5828,5.49,7.86
,7718.826406,8.900396669,27.2,3,58.8,41.2,79.8,5.3,2.4,0.6,11.9,65.7,15.4,5.7,13.2,0.71,15.5,5828,22.2,5828,5.49,7.86
,8728.606357,9.217603912,27.2,3,58.8,41.2,79.8,5.3,2.4,0.6,11.9,65.7,15.4,5.7,13.2,0.71,15.5,5828,22.2,5828,5.49,7.86
